config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0.0
(9+1)(9+1) 32000 2 1 0.0
(9+1)(9+1) 32000 2 2 0.0
(9+1)(9+1) 32000 3 1 0.0
(9+1)(9+1) 32000 3 2 0.0
(9+1)(9+1) 32000 3 3 0.0
(9+1)(9+1) 32000 4 1 0.0
(9+1)(9+1) 32000 4 2 0.000189932231342671
(9+1)(9+1) 32000 4 3 0.0
(9+1)(9+1) 32000 4 4 0.0
(9+1)(9+1) 32000 5 1 0.0
(9+1)(9+1) 32000 5 2 0.0008138807937245751
(9+1)(9+1) 32000 5 3 0.0002658480443211708
(9+1)(9+1) 32000 5 4 0.0
(9+1)(9+1) 32000 5 5 0.0
(9+1)(9+1) 32000 6 1 0.0
(9+1)(9+1) 32000 6 2 0.002170666582342995
(9+1)(9+1) 32000 6 3 0.0010346419298532528
(9+1)(9+1) 32000 6 4 0.00030671229152678947
(9+1)(9+1) 32000 6 5 0.0
(9+1)(9+1) 32000 6 6 0.0
(9+1)(9+1) 32000 7 1 0.0
(9+1)(9+1) 32000 7 2 0.004581040263186731
(9+1)(9+1) 32000 7 3 0.0025673231998518675
(9+1)(9+1) 32000 7 4 0.0011299439930134714
(9+1)(9+1) 32000 7 5 0.00033224764975725574
(9+1)(9+1) 32000 7 6 0.0
(9+1)(9+1) 32000 7 7 0.0
(9+1)(9+1) 32000 8 1 0.0
(9+1)(9+1) 32000 8 2 0.008354145227581822
(9+1)(9+1) 32000 8 3 0.00513215653071708
(9+1)(9+1) 32000 8 4 0.0026900876261301
(9+1)(9+1) 32000 8 5 0.0011811056393132846
(9+1)(9+1) 32000 8 6 0.0003497170853838938
(9+1)(9+1) 32000 8 7 0.0
(9+1)(9+1) 32000 8 8 0.0
(9+1)(9+1) 32000 9 1 0.0
(9+1)(9+1) 32000 9 2 0.013756565408251431
(9+1)(9+1) 32000 9 3 0.008991526321561971
(9+1)(9+1) 32000 9 4 0.005209503376955915
(9+1)(9+1) 32000 9 5 0.002735606369694832
(9+1)(9+1) 32000 9 6 0.0012123499110261449
(9+1)(9+1) 32000 9 7 0.0003624210450577925
(9+1)(9+1) 32000 9 8 0.0
(9+1)(9+1) 32000 9 9 0.0
(9+1)(9+1) 32000 10 1 0.0
(9+1)(9+1) 32000 10 2 0.02098497693680279
(9+1)(9+1) 32000 10 3 0.01439073293605253
(9+1)(9+1) 32000 10 4 0.008905865522593426
(9+1)(9+1) 32000 10 5 0.005184491853077122
(9+1)(9+1) 32000 10 6 0.002752895738553862
